title,author,school,sentence_ko,sentence_en,original_publication_date,corpus_edition_date,sentence_length,tokenized_txt,lemmatized_str
Plato - Complete Works,Plato,plato," What's new, Socrates, to make you leave your usual haunts in the Lyceum and spend your time here by the king archon's court?"," what's new, socrates, to make you leave your usual haunts in the lyceum and spend your time here by the king archon's court?",-350,1997,125,"['what', 'new', 'socrates', 'to', 'make', 'you', 'leave', 'your', 'usual', 'haunts', 'in', 'the', 'lyceum', 'and', 'spend', 'your', 'time', 'here', 'by', 'the', 'king', 'archon', 'court']","   what be new , Socrates , to make -PRON- leave -PRON- usual haunt in the Lyceum and spend -PRON- time here by the king archon 's court ?"
Plato - Complete Works,Plato,plato,Surely you are not prosecuting anyone before the king archon as I am?,surely you are not prosecuting anyone before the king archon as i am?,-350,1997,69,"['surely', 'you', 'are', 'not', 'prosecuting', 'anyone', 'before', 'the', 'king', 'archon', 'as', 'am']", surely -PRON- be not prosecute anyone before the king archon as -PRON- be ?
Plato - Complete Works,Plato,plato,"The Athenians do not call this a prosecution but an indictment, Euthyphro.","the athenians do not call this a prosecution but an indictment, euthyphro.",-350,1997,74,"['the', 'athenians', 'do', 'not', 'call', 'this', 'prosecution', 'but', 'an', 'indictment', 'euthyphro']"," the Athenians do not call this a prosecution but an indictment , Euthyphro ."
Plato - Complete Works,Plato,plato,What is this you say?,what is this you say?,-350,1997,21,"['what', 'is', 'this', 'you', 'say']", what be this -PRON- say ?
Plato - Complete Works,Plato,plato,"Someone must have indicted you, for you are not going to tell me that you have indicted someone else.","someone must have indicted you, for you are not going to tell me that you have indicted someone else.",-350,1997,101,"['someone', 'must', 'have', 'indicted', 'you', 'for', 'you', 'are', 'not', 'going', 'to', 'tell', 'me', 'that', 'you', 'have', 'indicted', 'someone', 'else']"," someone must have indict -PRON- , for -PRON- be not go to tell -PRON- that -PRON- have indict someone else ."
Plato - Complete Works,Plato,plato,But someone else has indicted you?,but someone else has indicted you?,-350,1997,34,"['but', 'someone', 'else', 'has', 'indicted', 'you']", but someone else have indict -PRON- ?
Plato - Complete Works,Plato,plato,"I do not really know him myself, Euthyphro.","i do not really know him myself, euthyphro.",-350,1997,43,"['do', 'not', 'really', 'know', 'him', 'myself', 'euthyphro']"," -PRON- do not really know -PRON- -PRON- , Euthyphro ."
Plato - Complete Works,Plato,plato,He is apparently young and unknown.,he is apparently young and unknown.,-350,1997,35,"['he', 'is', 'apparently', 'young', 'and', 'unknown']", -PRON- be apparently young and unknown .
Plato - Complete Works,Plato,plato,"They call him Meletus, I believe.","they call him meletus, i believe.",-350,1997,33,"['they', 'call', 'him', 'meletus', 'believe']"," -PRON- call -PRON- Meletus , -PRON- believe ."
Plato - Complete Works,Plato,plato,"He belongs to the Pitthean deme, if you know anyone from that deme called Meletus, with long hair, not much of a beard, and a rather aquiline nose.","he belongs to the pitthean deme, if you know anyone from that deme called meletus, with long hair, not much of a beard, and a rather aquiline nose.",-350,1997,147,"['he', 'belongs', 'to', 'the', 'pitthean', 'deme', 'if', 'you', 'know', 'anyone', 'from', 'that', 'deme', 'called', 'meletus', 'with', 'long', 'hair', 'not', 'much', 'of', 'beard', 'and', 'rather', 'aquiline', 'nose']"," -PRON- belong to the Pitthean deme , if -PRON- know anyone from that deme call Meletus , with long hair , not much of a beard , and a rather aquiline nose ."
Plato - Complete Works,Plato,plato,"I don't know him, Socrates.","i don't know him, socrates.",-350,1997,27,"['don', 'know', 'him', 'socrates']"," -PRON- do not know -PRON- , Socrates ."
Plato - Complete Works,Plato,plato,What charge does he bring against you?,what charge does he bring against you?,-350,1997,38,"['what', 'charge', 'does', 'he', 'bring', 'against', 'you']", what charge do -PRON- bring against -PRON- ?
Plato - Complete Works,Plato,plato,A not ignoble one I think,a not ignoble one i think,-350,1997,25,"['not', 'ignoble', 'one', 'think']", a not ignoble one -PRON- think
Plato - Complete Works,Plato,plato,", for it is no small thing for a young man to have knowledge of such an important subject.",", for it is no small thing for a young man to have knowledge of such an important subject.",-350,1997,90,"['for', 'it', 'is', 'no', 'small', 'thing', 'for', 'young', 'man', 'to', 'have', 'knowledge', 'of', 'such', 'an', 'important', 'subject']"," , for -PRON- be no small thing for a young man to have knowledge of such an important subject ."
Plato - Complete Works,Plato,plato,He says he knows how our young men are corrupted and who corrupts them.,he says he knows how our young men are corrupted and who corrupts them.,-350,1997,71,"['he', 'says', 'he', 'knows', 'how', 'our', 'young', 'men', 'are', 'corrupted', 'and', 'who', 'corrupts', 'them']", -PRON- say -PRON- know how -PRON- young man be corrupt and who corrupt -PRON- .
Plato - Complete Works,Plato,plato,"He is likely to be wise, and when he sees my ignorance corrupting his contemporaries, he proceeds to accuse me to the city as to their mother.","he is likely to be wise, and when he sees my ignorance corrupting his contemporaries, he proceeds to accuse me to the city as to their mother.",-350,1997,142,"['he', 'is', 'likely', 'to', 'be', 'wise', 'and', 'when', 'he', 'sees', 'my', 'ignorance', 'corrupting', 'his', 'contemporaries', 'he', 'proceeds', 'to', 'accuse', 'me', 'to', 'the', 'city', 'as', 'to', 'their', 'mother']"," -PRON- be likely to be wise , and when -PRON- see -PRON- ignorance corrupt -PRON- contemporary , -PRON- proceed to accuse -PRON- to the city as to -PRON- mother ."
Plato - Complete Works,Plato,plato,"I think he is the only one of our public men to start out the right way, for it is right to care first that the young should be as good as possible, just as a good farmer is likely to take care of the young plants first, and of the others later.","i think he is the only one of our public men to start out the right way, for it is right to care first that the young should be as good as possible, just as a good farmer is likely to take care of the young plants first, and of the others later.",-350,1997,245,"['think', 'he', 'is', 'the', 'only', 'one', 'of', 'our', 'public', 'men', 'to', 'start', 'out', 'the', 'right', 'way', 'for', 'it', 'is', 'right', 'to', 'care', 'first', 'that', 'the', 'young', 'should', 'be', 'as', 'good', 'as', 'possible', 'just', 'as', 'good', 'farmer', 'is', 'likely', 'to', 'take', 'care', 'of', 'the', 'young', 'plants', 'first', 'and', 'of', 'the', 'others', 'later']"," -PRON- think -PRON- be the only one of -PRON- public man to start out the right way , for -PRON- be right to care first that the young should be as good as possible , just as a good farmer be likely to take care of the young plant first , and of the other later ."
Plato - Complete Works,Plato,plato,"So, too, Meletus first gets rid of us who corrupt the young shoots, as he says, and then afterwards he will obviously take care of the older ones and become a source of great blessings for the city, as seems likely to happen to one who started out this way.","so, too, meletus first gets rid of us who corrupt the young shoots, as he says, and then afterwards he will obviously take care of the older ones and become a source of great blessings for the city, as seems likely to happen to one who started out this way.",-350,1997,257,"['so', 'too', 'meletus', 'first', 'gets', 'rid', 'of', 'us', 'who', 'corrupt', 'the', 'young', 'shoots', 'as', 'he', 'says', 'and', 'then', 'afterwards', 'he', 'will', 'obviously', 'take', 'care', 'of', 'the', 'older', 'ones', 'and', 'become', 'source', 'of', 'great', 'blessings', 'for', 'the', 'city', 'as', 'seems', 'likely', 'to', 'happen', 'to', 'one', 'who', 'started', 'out', 'this', 'way']"," so , too , Meletus first get rid of -PRON- who corrupt the young shoot , as -PRON- say , and then afterwards -PRON- will obviously take care of the old one and become a source of great blessing for the city , as seem likely to happen to one who start out this way ."
Plato - Complete Works,Plato,plato,"I could wish this were true, Socrates, but I fear the opposite may happen.","i could wish this were true, socrates, but i fear the opposite may happen.",-350,1997,74,"['could', 'wish', 'this', 'were', 'true', 'socrates', 'but', 'fear', 'the', 'opposite', 'may', 'happen']"," -PRON- could wish this be true , Socrates , but -PRON- fear the opposite may happen ."
Plato - Complete Works,Plato,plato,He seems to me to start out by harming the very heart of Euthyphro the city by attempting to wrong you.,he seems to me to start out by harming the very heart of euthyphro the city by attempting to wrong you.,-350,1997,103,"['he', 'seems', 'to', 'me', 'to', 'start', 'out', 'by', 'harming', 'the', 'very', 'heart', 'of', 'euthyphro', 'the', 'city', 'by', 'attempting', 'to', 'wrong', 'you']", -PRON- seem to -PRON- to start out by harm the very heart of Euthyphro the city by attempt to wrong -PRON- .
Plato - Complete Works,Plato,plato,"Tell me, what does he say you do to corrupt the young?","tell me, what does he say you do to corrupt the young?",-350,1997,54,"['tell', 'me', 'what', 'does', 'he', 'say', 'you', 'do', 'to', 'corrupt', 'the', 'young']"," tell -PRON- , what do -PRON- say -PRON- do to corrupt the young ?"
Plato - Complete Works,Plato,plato,"Strange things, to hear him tell it, for he says that I am a maker of gods, and on the ground that I create new gods while not believing in the old gods, he has indicted me for their sake, as he puts it.","strange things, to hear him tell it, for he says that i am a maker of gods, and on the ground that i create new gods while not believing in the old gods, he has indicted me for their sake, as he puts it.",-350,1997,203,"['strange', 'things', 'to', 'hear', 'him', 'tell', 'it', 'for', 'he', 'says', 'that', 'am', 'maker', 'of', 'gods', 'and', 'on', 'the', 'ground', 'that', 'create', 'new', 'gods', 'while', 'not', 'believing', 'in', 'the', 'old', 'gods', 'he', 'has', 'indicted', 'me', 'for', 'their', 'sake', 'as', 'he', 'puts', 'it']"," strange thing , to hear -PRON- tell -PRON- , for -PRON- say that -PRON- be a maker of god , and on the ground that -PRON- create new god while not believe in the old god , -PRON- have indict -PRON- for -PRON- sake , as -PRON- put -PRON- ."
Plato - Complete Works,Plato,plato,"I understand, Socrates.","i understand, socrates.",-350,1997,23,"['understand', 'socrates']"," -PRON- understand , Socrates ."
Plato - Complete Works,Plato,plato,This is because you say that the divine sign keeps coming to you.,this is because you say that the divine sign keeps coming to you.,-350,1997,65,"['this', 'is', 'because', 'you', 'say', 'that', 'the', 'divine', 'sign', 'keeps', 'coming', 'to', 'you']", this be because -PRON- say that the divine sign keep come to -PRON- .
Plato - Complete Works,Plato,plato,"So he has written this indictment against you as one who makes innovations in religious matters, and he comes to court to slander you, knowing that such things are easily misrepresented to the crowd.","so he has written this indictment against you as one who makes innovations in religious matters, and he comes to court to slander you, knowing that such things are easily misrepresented to the crowd.",-350,1997,199,"['so', 'he', 'has', 'written', 'this', 'indictment', 'against', 'you', 'as', 'one', 'who', 'makes', 'innovations', 'in', 'religious', 'matters', 'and', 'he', 'comes', 'to', 'court', 'to', 'slander', 'you', 'knowing', 'that', 'such', 'things', 'are', 'easily', 'misrepresented', 'to', 'the', 'crowd']"," so -PRON- have write this indictment against -PRON- as one who make innovation in religious matter , and -PRON- come to court to slander -PRON- , know that such thing be easily misrepresent to the crowd ."
Aristotle - Complete Works,Aristotle,aristotle," When things have only a name in common and the definition of being which corresponds to the name is different, they are called homonymous."," when things have only a name in common and the definition of being which corresponds to the name is different, they are called homonymous.",-320,1991,139,"['when', 'things', 'have', 'only', 'name', 'in', 'common', 'and', 'the', 'definition', 'of', 'being', 'which', 'corresponds', 'to', 'the', 'name', 'is', 'different', 'they', 'are', 'called', 'homonymous']","   when thing have only a name in common and the definition of being which correspond to the name be different , -PRON- be call homonymous ."
Aristotle - Complete Works,Aristotle,aristotle,"Thus, for example, both a man and a picture are animals.","thus, for example, both a man and a picture are animals.",-320,1991,56,"['thus', 'for', 'example', 'both', 'man', 'and', 'picture', 'are', 'animals']"," thus , for example , both a man and a picture be animal ."
Aristotle - Complete Works,Aristotle,aristotle,"These have only a name in common and the definition of being which corresponds to the name is different; for if one is to say what being an animal is for each of them, one will give two distinct definitions.","these have only a name in common and the definition of being which corresponds to the name is different; for if one is to say what being an animal is for each of them, one will give two distinct definitions.",-320,1991,207,"['these', 'have', 'only', 'name', 'in', 'common', 'and', 'the', 'definition', 'of', 'being', 'which', 'corresponds', 'to', 'the', 'name', 'is', 'different', 'for', 'if', 'one', 'is', 'to', 'say', 'what', 'being', 'an', 'animal', 'is', 'for', 'each', 'of', 'them', 'one', 'will', 'give', 'two', 'distinct', 'definitions']"," these have only a name in common and the definition of being which correspond to the name be different ; for if one be to say what be an animal be for each of -PRON- , one will give two distinct definition ."
Aristotle - Complete Works,Aristotle,aristotle,"When things have the name in common and the definition of being which corresponds to the name is the same, they are called synonymous.","when things have the name in common and the definition of being which corresponds to the name is the same, they are called synonymous.",-320,1991,134,"['when', 'things', 'have', 'the', 'name', 'in', 'common', 'and', 'the', 'definition', 'of', 'being', 'which', 'corresponds', 'to', 'the', 'name', 'is', 'the', 'same', 'they', 'are', 'called', 'synonymous']"," when thing have the name in common and the definition of being which correspond to the name be the same , -PRON- be call synonymous ."
Aristotle - Complete Works,Aristotle,aristotle,"Thus, for example, both a man and an ox are animals.","thus, for example, both a man and an ox are animals.",-320,1991,52,"['thus', 'for', 'example', 'both', 'man', 'and', 'an', 'ox', 'are', 'animals']"," thus , for example , both a man and an ox be animal ."
Aristotle - Complete Works,Aristotle,aristotle,"Each of these is called, by a common name, an animal, and the definition of being is also the same; for if one is to give the definition of each what being an animal is for each of them","each of these is called, by a common name, an animal, and the definition of being is also the same; for if one is to give the definition of each what being an animal is for each of them",-320,1991,185,"['each', 'of', 'these', 'is', 'called', 'by', 'common', 'name', 'an', 'animal', 'and', 'the', 'definition', 'of', 'being', 'is', 'also', 'the', 'same', 'for', 'if', 'one', 'is', 'to', 'give', 'the', 'definition', 'of', 'each', 'what', 'being', 'an', 'animal', 'is', 'for', 'each', 'of', 'them']"," each of these be call , by a common name , an animal , and the definition of be be also the same ; for if one be to give the definition of each what be an animal be for each of -PRON-"
Aristotle - Complete Works,Aristotle,aristotle,one will give the same definition.,one will give the same definition.,-320,1991,34,"['one', 'will', 'give', 'the', 'same', 'definition']", one will give the same definition .
Aristotle - Complete Works,Aristotle,aristotle,"When things get their name from something, with a difference of ending, they are called paronymous.","when things get their name from something, with a difference of ending, they are called paronymous.",-320,1991,99,"['when', 'things', 'get', 'their', 'name', 'from', 'something', 'with', 'difference', 'of', 'ending', 'they', 'are', 'called', 'paronymous']"," when thing get -PRON- name from something , with a difference of ending , -PRON- be call paronymous ."
Aristotle - Complete Works,Aristotle,aristotle,"Thus, for example, the grammarian gets his name from grammar, the brave get theirs from bravery.","thus, for example, the grammarian gets his name from grammar, the brave get theirs from bravery.",-320,1991,96,"['thus', 'for', 'example', 'the', 'grammarian', 'gets', 'his', 'name', 'from', 'grammar', 'the', 'brave', 'get', 'theirs', 'from', 'bravery']"," thus , for example , the grammarian get -PRON- name from grammar , the brave get -PRON- from bravery ."
Aristotle - Complete Works,Aristotle,aristotle,"Of things that are said, some involve combination while others are said without combination.","of things that are said, some involve combination while others are said without combination.",-320,1991,92,"['of', 'things', 'that', 'are', 'said', 'some', 'involve', 'combination', 'while', 'others', 'are', 'said', 'without', 'combination']"," of thing that be say , some involve combination while other be say without combination ."
