title,author,school,sentence_ko,sentence_en,original_publication_date,corpus_edition_date,sentence_length,tokenized_txt,lemmatized_str
Plato - Complete Works,Plato,plato," 소크라테스, 무슨 일이 있었길래 평소 즐겨 찾던 리세움에서 벗어나 이곳 대공의 궁정 옆에서 시간을 보내게 된 건가요?"," what's new, socrates, to make you leave your usual haunts in the lyceum and spend your time here by the king archon's court?",-350,1997,125,"['what', 'new', 'socrates', 'to', 'make', 'you', 'leave', 'your', 'usual', 'haunts', 'in', 'the', 'lyceum', 'and', 'spend', 'your', 'time', 'here', 'by', 'the', 'king', 'archon', 'court']","   what be new , Socrates , to make -PRON- leave -PRON- usual haunt in the Lyceum and spend -PRON- time here by the king archon 's court ?"
Plato - Complete Works,Plato,plato,나처럼 대공 앞에서 누구를 기소하는 건 아니겠지?,surely you are not prosecuting anyone before the king archon as i am?,-350,1997,69,"['surely', 'you', 'are', 'not', 'prosecuting', 'anyone', 'before', 'the', 'king', 'archon', 'as', 'am']", surely -PRON- be not prosecute anyone before the king archon as -PRON- be ?
Plato - Complete Works,Plato,plato,"아테네 사람들은 이것을 기소가 아니라 기소라고 부릅니다, 에우티프로.","the athenians do not call this a prosecution but an indictment, euthyphro.",-350,1997,74,"['the', 'athenians', 'do', 'not', 'call', 'this', 'prosecution', 'but', 'an', 'indictment', 'euthyphro']"," the Athenians do not call this a prosecution but an indictment , Euthyphro ."
Plato - Complete Works,Plato,plato,무슨 말씀이신가요?,what is this you say?,-350,1997,21,"['what', 'is', 'this', 'you', 'say']", what be this -PRON- say ?
Plato - Complete Works,Plato,plato,다른 사람을 기소했다고 말하지 않으셨으니 누군가 당신을 기소했을 겁니다.,"someone must have indicted you, for you are not going to tell me that you have indicted someone else.",-350,1997,101,"['someone', 'must', 'have', 'indicted', 'you', 'for', 'you', 'are', 'not', 'going', 'to', 'tell', 'me', 'that', 'you', 'have', 'indicted', 'someone', 'else']"," someone must have indict -PRON- , for -PRON- be not go to tell -PRON- that -PRON- have indict someone else ."
Plato - Complete Works,Plato,plato,하지만 다른 사람이 당신을 기소했나요?,but someone else has indicted you?,-350,1997,34,"['but', 'someone', 'else', 'has', 'indicted', 'you']", but someone else have indict -PRON- ?
Plato - Complete Works,Plato,plato,"저도 그를 잘 몰라요, 유티프로.","i do not really know him myself, euthyphro.",-350,1997,43,"['do', 'not', 'really', 'know', 'him', 'myself', 'euthyphro']"," -PRON- do not really know -PRON- -PRON- , Euthyphro ."
Plato - Complete Works,Plato,plato,그는 분명히 젊고 무명입니다.,he is apparently young and unknown.,-350,1997,35,"['he', 'is', 'apparently', 'young', 'and', 'unknown']", -PRON- be apparently young and unknown .
Plato - Complete Works,Plato,plato,멜레투스라고 부르는 것 같아요.,"they call him meletus, i believe.",-350,1997,33,"['they', 'call', 'him', 'meletus', 'believe']"," -PRON- call -PRON- Meletus , -PRON- believe ."
Plato - Complete Works,Plato,plato,그는 긴 머리에 수염이 많지 않고 다소 오뚝한 코를 가진 멜레투스라고 불리는 피테안 데메에 속합니다.,"he belongs to the pitthean deme, if you know anyone from that deme called meletus, with long hair, not much of a beard, and a rather aquiline nose.",-350,1997,147,"['he', 'belongs', 'to', 'the', 'pitthean', 'deme', 'if', 'you', 'know', 'anyone', 'from', 'that', 'deme', 'called', 'meletus', 'with', 'long', 'hair', 'not', 'much', 'of', 'beard', 'and', 'rather', 'aquiline', 'nose']"," -PRON- belong to the Pitthean deme , if -PRON- know anyone from that deme call Meletus , with long hair , not much of a beard , and a rather aquiline nose ."
Plato - Complete Works,Plato,plato,"난 그를 몰라요, 소크라테스.","i don't know him, socrates.",-350,1997,27,"['don', 'know', 'him', 'socrates']"," -PRON- do not know -PRON- , Socrates ."
Plato - Complete Works,Plato,plato,그가 어떤 혐의를 제기하나요?,what charge does he bring against you?,-350,1997,38,"['what', 'charge', 'does', 'he', 'bring', 'against', 'you']", what charge do -PRON- bring against -PRON- ?
Plato - Complete Works,Plato,plato,무시할 수 없는 것 같아요,a not ignoble one i think,-350,1997,25,"['not', 'ignoble', 'one', 'think']", a not ignoble one -PRON- think
Plato - Complete Works,Plato,plato,청년이 이렇게 중요한 주제에 대한 지식을 갖는다는 것은 결코 작은 일이 아니기 때문입니다.,", for it is no small thing for a young man to have knowledge of such an important subject.",-350,1997,90,"['for', 'it', 'is', 'no', 'small', 'thing', 'for', 'young', 'man', 'to', 'have', 'knowledge', 'of', 'such', 'an', 'important', 'subject']"," , for -PRON- be no small thing for a young man to have knowledge of such an important subject ."
Plato - Complete Works,Plato,plato,그는 우리 젊은이들이 어떻게 타락하고 누가 그들을 타락시키는지 알고 있다고 말합니다.,he says he knows how our young men are corrupted and who corrupts them.,-350,1997,71,"['he', 'says', 'he', 'knows', 'how', 'our', 'young', 'men', 'are', 'corrupted', 'and', 'who', 'corrupts', 'them']", -PRON- say -PRON- know how -PRON- young man be corrupt and who corrupt -PRON- .
Plato - Complete Works,Plato,plato,"그는 현명할 것 같았고, 나의 무지가 동시대 사람들을 타락시키는 것을 보고는 그들의 어머니에 대해 저를 도시에 고발했습니다.","he is likely to be wise, and when he sees my ignorance corrupting his contemporaries, he proceeds to accuse me to the city as to their mother.",-350,1997,142,"['he', 'is', 'likely', 'to', 'be', 'wise', 'and', 'when', 'he', 'sees', 'my', 'ignorance', 'corrupting', 'his', 'contemporaries', 'he', 'proceeds', 'to', 'accuse', 'me', 'to', 'the', 'city', 'as', 'to', 'their', 'mother']"," -PRON- be likely to be wise , and when -PRON- see -PRON- ignorance corrupt -PRON- contemporary , -PRON- proceed to accuse -PRON- to the city as to -PRON- mother ."
Plato - Complete Works,Plato,plato,좋은 농부가 어린 식물을 먼저 돌보고 다른 식물은 나중에 돌보는 것처럼 어린 식물을 먼저 돌보는 것이 옳기 때문에 그는 우리 공직자 중 유일하게 올바른 방식으로 시작하는 사람이라고 생각합니다.,"i think he is the only one of our public men to start out the right way, for it is right to care first that the young should be as good as possible, just as a good farmer is likely to take care of the young plants first, and of the others later.",-350,1997,245,"['think', 'he', 'is', 'the', 'only', 'one', 'of', 'our', 'public', 'men', 'to', 'start', 'out', 'the', 'right', 'way', 'for', 'it', 'is', 'right', 'to', 'care', 'first', 'that', 'the', 'young', 'should', 'be', 'as', 'good', 'as', 'possible', 'just', 'as', 'good', 'farmer', 'is', 'likely', 'to', 'take', 'care', 'of', 'the', 'young', 'plants', 'first', 'and', 'of', 'the', 'others', 'later']"," -PRON- think -PRON- be the only one of -PRON- public man to start out the right way , for -PRON- be right to care first that the young should be as good as possible , just as a good farmer be likely to take care of the young plant first , and of the other later ."
Plato - Complete Works,Plato,plato,"그래서 멜 레투스는 그의 말대로 어린 새싹을 타락시키는 우리를 먼저 제거한 다음, 이런 식으로 시작한 사람에게 일어날 가능성이있는 것처럼 분명히 오래된 새싹을 돌보고 도시에 큰 축복의 근원이 될 것입니다.","so, too, meletus first gets rid of us who corrupt the young shoots, as he says, and then afterwards he will obviously take care of the older ones and become a source of great blessings for the city, as seems likely to happen to one who started out this way.",-350,1997,257,"['so', 'too', 'meletus', 'first', 'gets', 'rid', 'of', 'us', 'who', 'corrupt', 'the', 'young', 'shoots', 'as', 'he', 'says', 'and', 'then', 'afterwards', 'he', 'will', 'obviously', 'take', 'care', 'of', 'the', 'older', 'ones', 'and', 'become', 'source', 'of', 'great', 'blessings', 'for', 'the', 'city', 'as', 'seems', 'likely', 'to', 'happen', 'to', 'one', 'who', 'started', 'out', 'this', 'way']"," so , too , Meletus first get rid of -PRON- who corrupt the young shoot , as -PRON- say , and then afterwards -PRON- will obviously take care of the old one and become a source of great blessing for the city , as seem likely to happen to one who start out this way ."
Plato - Complete Works,Plato,plato,"소크라테스, 이것이 사실이기를 바라지만 그 반대의 일이 일어날까 봐 걱정입니다.","i could wish this were true, socrates, but i fear the opposite may happen.",-350,1997,74,"['could', 'wish', 'this', 'were', 'true', 'socrates', 'but', 'fear', 'the', 'opposite', 'may', 'happen']"," -PRON- could wish this be true , Socrates , but -PRON- fear the opposite may happen ."
Plato - Complete Works,Plato,plato,그는 당신을 잘못 건드려서 도시 유티프로의 심장부를 해치는 것부터 시작하는 것 같습니다.,he seems to me to start out by harming the very heart of euthyphro the city by attempting to wrong you.,-350,1997,103,"['he', 'seems', 'to', 'me', 'to', 'start', 'out', 'by', 'harming', 'the', 'very', 'heart', 'of', 'euthyphro', 'the', 'city', 'by', 'attempting', 'to', 'wrong', 'you']", -PRON- seem to -PRON- to start out by harm the very heart of Euthyphro the city by attempt to wrong -PRON- .
Plato - Complete Works,Plato,plato,젊은이들을 타락시키려면 어떻게 해야 한다고 하셨나요?,"tell me, what does he say you do to corrupt the young?",-350,1997,54,"['tell', 'me', 'what', 'does', 'he', 'say', 'you', 'do', 'to', 'corrupt', 'the', 'young']"," tell -PRON- , what do -PRON- say -PRON- do to corrupt the young ?"
Plato - Complete Works,Plato,plato,"그의 말을 들으니 이상하게도 나는 신을 만드는 사람이고, 내가 옛 신을 믿지 않으면서 새로운 신을 만든다는 이유로, 그의 말대로 신을 위해 나를 기소했으니까요.","strange things, to hear him tell it, for he says that i am a maker of gods, and on the ground that i create new gods while not believing in the old gods, he has indicted me for their sake, as he puts it.",-350,1997,203,"['strange', 'things', 'to', 'hear', 'him', 'tell', 'it', 'for', 'he', 'says', 'that', 'am', 'maker', 'of', 'gods', 'and', 'on', 'the', 'ground', 'that', 'create', 'new', 'gods', 'while', 'not', 'believing', 'in', 'the', 'old', 'gods', 'he', 'has', 'indicted', 'me', 'for', 'their', 'sake', 'as', 'he', 'puts', 'it']"," strange thing , to hear -PRON- tell -PRON- , for -PRON- say that -PRON- be a maker of god , and on the ground that -PRON- create new god while not believe in the old god , -PRON- have indict -PRON- for -PRON- sake , as -PRON- put -PRON- ."
Plato - Complete Works,Plato,plato,"알겠습니다, 소크라테스.","i understand, socrates.",-350,1997,23,"['understand', 'socrates']"," -PRON- understand , Socrates ."
Plato - Complete Works,Plato,plato,신의 계시가 계속 다가온다고 말씀하셨기 때문입니다.,this is because you say that the divine sign keeps coming to you.,-350,1997,65,"['this', 'is', 'because', 'you', 'say', 'that', 'the', 'divine', 'sign', 'keeps', 'coming', 'to', 'you']", this be because -PRON- say that the divine sign keep come to -PRON- .
Plato - Complete Works,Plato,plato,"그래서 그는 종교 문제에 혁신을 일으키는 사람으로 당신을 비방하는 이 공소장을 작성했고, 그런 것들이 군중에게 쉽게 잘못 전달된다는 것을 알면서도 당신을 비방하기 위해 법정에 왔습니다.","so he has written this indictment against you as one who makes innovations in religious matters, and he comes to court to slander you, knowing that such things are easily misrepresented to the crowd.",-350,1997,199,"['so', 'he', 'has', 'written', 'this', 'indictment', 'against', 'you', 'as', 'one', 'who', 'makes', 'innovations', 'in', 'religious', 'matters', 'and', 'he', 'comes', 'to', 'court', 'to', 'slander', 'you', 'knowing', 'that', 'such', 'things', 'are', 'easily', 'misrepresented', 'to', 'the', 'crowd']"," so -PRON- have write this indictment against -PRON- as one who make innovation in religious matter , and -PRON- come to court to slander -PRON- , know that such thing be easily misrepresent to the crowd ."
Aristotle - Complete Works,Aristotle,aristotle," 사물에 공통된 이름만 있고 그 이름에 해당하는 존재의 정의가 다른 경우, 이를 동음이의어라고 합니다."," when things have only a name in common and the definition of being which corresponds to the name is different, they are called homonymous.",-320,1991,139,"['when', 'things', 'have', 'only', 'name', 'in', 'common', 'and', 'the', 'definition', 'of', 'being', 'which', 'corresponds', 'to', 'the', 'name', 'is', 'different', 'they', 'are', 'called', 'homonymous']","   when thing have only a name in common and the definition of being which correspond to the name be different , -PRON- be call homonymous ."
Aristotle - Complete Works,Aristotle,aristotle,따라서 예를 들어 사람과 그림은 모두 동물입니다.,"thus, for example, both a man and a picture are animals.",-320,1991,56,"['thus', 'for', 'example', 'both', 'man', 'and', 'picture', 'are', 'animals']"," thus , for example , both a man and a picture be animal ."
Aristotle - Complete Works,Aristotle,aristotle,"이들은 이름만 공통으로 가지고 있고 이름에 해당하는 존재의 정의는 다르므로, 각각에 대해 동물이 무엇인지 말한다면 두 가지 다른 정의를 내릴 수 있습니다.","these have only a name in common and the definition of being which corresponds to the name is different; for if one is to say what being an animal is for each of them, one will give two distinct definitions.",-320,1991,207,"['these', 'have', 'only', 'name', 'in', 'common', 'and', 'the', 'definition', 'of', 'being', 'which', 'corresponds', 'to', 'the', 'name', 'is', 'different', 'for', 'if', 'one', 'is', 'to', 'say', 'what', 'being', 'an', 'animal', 'is', 'for', 'each', 'of', 'them', 'one', 'will', 'give', 'two', 'distinct', 'definitions']"," these have only a name in common and the definition of being which correspond to the name be different ; for if one be to say what be an animal be for each of -PRON- , one will give two distinct definition ."
Aristotle - Complete Works,Aristotle,aristotle,사물이 공통된 이름을 가지고 있고 그 이름에 해당하는 존재의 정의가 동일한 경우 이를 동의어라고 합니다.,"when things have the name in common and the definition of being which corresponds to the name is the same, they are called synonymous.",-320,1991,134,"['when', 'things', 'have', 'the', 'name', 'in', 'common', 'and', 'the', 'definition', 'of', 'being', 'which', 'corresponds', 'to', 'the', 'name', 'is', 'the', 'same', 'they', 'are', 'called', 'synonymous']"," when thing have the name in common and the definition of being which correspond to the name be the same , -PRON- be call synonymous ."
Aristotle - Complete Works,Aristotle,aristotle,따라서 예를 들어 사람과 소는 모두 동물입니다.,"thus, for example, both a man and an ox are animals.",-320,1991,52,"['thus', 'for', 'example', 'both', 'man', 'and', 'an', 'ox', 'are', 'animals']"," thus , for example , both a man and an ox be animal ."
Aristotle - Complete Works,Aristotle,aristotle,이들 각각은 공통된 이름으로 동물이라고 불리며 존재의 정의도 동일합니다. 각각에 대해 동물이 무엇인지에 대한 정의를 제공한다면,"each of these is called, by a common name, an animal, and the definition of being is also the same; for if one is to give the definition of each what being an animal is for each of them",-320,1991,185,"['each', 'of', 'these', 'is', 'called', 'by', 'common', 'name', 'an', 'animal', 'and', 'the', 'definition', 'of', 'being', 'is', 'also', 'the', 'same', 'for', 'if', 'one', 'is', 'to', 'give', 'the', 'definition', 'of', 'each', 'what', 'being', 'an', 'animal', 'is', 'for', 'each', 'of', 'them']"," each of these be call , by a common name , an animal , and the definition of be be also the same ; for if one be to give the definition of each what be an animal be for each of -PRON-"
Aristotle - Complete Works,Aristotle,aristotle,를 사용하면 동일한 정의를 내릴 수 있습니다.,one will give the same definition.,-320,1991,34,"['one', 'will', 'give', 'the', 'same', 'definition']", one will give the same definition .
Aristotle - Complete Works,Aristotle,aristotle,어미에 차이가 있는 어떤 것에서 이름을 따온 것을 익명이라고 합니다.,"when things get their name from something, with a difference of ending, they are called paronymous.",-320,1991,99,"['when', 'things', 'get', 'their', 'name', 'from', 'something', 'with', 'difference', 'of', 'ending', 'they', 'are', 'called', 'paronymous']"," when thing get -PRON- name from something , with a difference of ending , -PRON- be call paronymous ."
Aristotle - Complete Works,Aristotle,aristotle,"예를 들어 문법가는 문법에서 이름을 얻고, 용감한 사람은 용감함에서 이름을 얻습니다.","thus, for example, the grammarian gets his name from grammar, the brave get theirs from bravery.",-320,1991,96,"['thus', 'for', 'example', 'the', 'grammarian', 'gets', 'his', 'name', 'from', 'grammar', 'the', 'brave', 'get', 'theirs', 'from', 'bravery']"," thus , for example , the grammarian get -PRON- name from grammar , the brave get -PRON- from bravery ."
Aristotle - Complete Works,Aristotle,aristotle,말하는 것 중에는 조합을 포함하는 것도 있고 조합 없이 말하는 것도 있습니다.,"of things that are said, some involve combination while others are said without combination.",-320,1991,92,"['of', 'things', 'that', 'are', 'said', 'some', 'involve', 'combination', 'while', 'others', 'are', 'said', 'without', 'combination']"," of thing that be say , some involve combination while other be say without combination ."
Aristotle - Complete Works,Aristotle,aristotle,조합을 포함하는 것의 예로는 '사람이 달리면 사람이 이긴다'와 조합이 없는 것의 예가 있습니다:,"examples of those involving combination are: man runs, man wins; and of those without combination:",-320,1991,98,"['examples', 'of', 'those', 'involving', 'combination', 'are', 'man', 'runs', 'man', 'wins', 'and', 'of', 'those', 'without', 'combination']"," example of those involve combination be : man run , man win ; and of those without combination :"
Aristotle - Complete Works,Aristotle,aristotle,"사람, 소, 달리기, 승리.","man, ox, runs, wins.",-320,1991,20,"['man', 'ox', 'runs', 'wins']"," man , ox , run , win ."
Aristotle - Complete Works,Aristotle,aristotle,있는 것들 중 (a),of things there are: (a),-320,1991,24,"['of', 'things', 'there', 'are']", of thing there be : ( a )
